Student_ID,First_Name,Last_Name,Gender,Age,Grade,Math_Score,English_Score,Science_Score,Attendance_Percentage,City,State,
101,Brian,Oconnor,Other,10,4th,54,20,50,64.46,Valeriefurt,North Dakota,
102,James,Willis,Male,9,2nd,35,35,50,90.26,New Nathantown,Virginia,
103,James,Gibson,Male,17,5th,6,80,12,67.29,Jenniferberg,Georgia,
104,Heather,Johnson,Other,15,10th,8,68,28,60.26,North Danielland,New Hampshire,
105,Joshua,Ruiz,Female,11,2nd,47,37,93,95.73,Lake Megan,West Virginia,
106,Kimberly,Ford,Male,15,4th,44,85,88,80.38,Francoburgh,Oregon,
107,Ann,Chase,Male,15,6th,57,8,34,79.83,East Benjaminshire,New York,
108,Paul,Stafford,Male,18,8th,62,89,63,67.15,Pinedachester,Oklahoma,
109,Mathew,Clark,Other,16,8th,64,92,26,90.42,Sandraborough,North Carolina,
110,Angela,Wade,Male,11,6th,67,92,21,86.92,Port Phyllis,Mississippi,
111,Deanna,Simon,Other,9,10th,15,27,100,63.78,East Amanda,Louisiana,
112,Brandy,Johnson,Other,10,11th,60,63,26,94.48,Powelltown,Maine,
113,Yvonne,Smith,Other,8,5th,90,52,44,73.7,Glassberg,Tennessee,
114,Ronnie,Bryant,Male,16,12th,68,97,81,87.48,Lake William,Rhode Island,
115,William,Smith,Other,14,10th,86,70,36,92.9,North Robertshire,Missouri,
116,Sandra,Mccormick,Female,9,3rd,68,15,90,67.74,Cookside,Ohio,
117,Adam,Phillips,Male,12,10th,37,47,76,64.35,Campbellville,Nebraska,
118,Julie,Stephens,Male,10,10th,57,9,36,69.27,South Adamtown,Minnesota,
119,Kimberly,Allen,Male,10,6th,79,96,93,72.29,Lake Vernonside,New Jersey,
120,Richard,Howe,Male,6,6th,47,13,0,72.22,Port Julian,Maryland,
121,Aaron,Solis,Male,14,7th,86,64,12,90.66,Port Daniel,Arizona,
122,Troy,Jensen,Other,15,3rd,88,98,23,78.88,Jasonbury,Hawaii,
123,Julie,Miller,Other,17,1st,8,99,64,87.39,Fletcherfurt,Tennessee,
124,Alicia,Ellis,Male,8,6th,24,41,89,97.1,Morenotown,Massachusetts,
125,Robert,House,Other,16,4th,58,52,79,68.41,East Melody,California,
126,Robert,Gross,Male,16,4th,11,57,61,86.88,Kathyhaven,Washington,
127,Jason,Salas,Other,12,12th,10,21,94,72.95,South Lucas,Hawaii,
128,Heather,Larson,Other,14,12th,50,32,39,67.68,Scotthaven,Washington,
129,Phillip,Cruz,Other,13,11th,22,26,88,75.85,Lake Jacquelinefurt,Vermont,
130,Rebecca,Johnson,Other,6,7th,36,64,30,66.87,Hallside,Kentucky,
131,Stephen,Nelson,Female,11,5th,9,5,21,66.32,Clarkland,Kentucky,
132,Kristin,Jones,Male,16,6th,13,59,40,86.5,West Raymond,Oregon,
133,Erika,Nelson,Female,16,3rd,21,3,87,73.03,North Kaitlin,Oklahoma,
134,Matthew,Blanchard,Other,12,11th,35,9,8,80.66,South Krystal,Michigan,
135,Linda,Rodriguez,Female,18,12th,14,81,21,78.95,Grossland,Washington,
136,Debra,Davis,Male,14,6th,89,88,23,83.81,New Deannahaven,West Virginia,
137,Deborah,Peterson,Male,11,8th,18,86,42,76.68,Robersonview,Montana,
138,Patricia,Phelps,Other,17,8th,63,95,58,89.06,Angelaburgh,Ohio,
139,Jenna,Johnson,Female,12,8th,19,59,18,69.15,Penabury,Colorado,
140,Sarah,Andersen,Female,12,6th,26,48,1,70.51,Dianaton,New Mexico,
141,Joseph,Smith,Female,8,5th,66,43,85,97.37,Lake Richardview,Massachusetts,
142,Regina,Hamilton,Male,10,8th,80,95,60,93.38,North Codyshire,Iowa,
143,Taylor,Adkins,Male,12,9th,2,51,54,74.83,Matthewborough,Minnesota,
144,John,Romero,Female,8,2nd,37,24,42,72.25,Bishopland,West Virginia,
145,David,Green,Male,18,3rd,53,50,2,89.07,East Joseph,Montana,
146,Robert,Cole,Male,14,11th,87,4,22,93.17,Lake John,Kentucky,
147,Timothy,Smith,Female,13,10th,69,1,33,72.61,North Brian,Alaska,
148,Valerie,Mcdaniel,Male,9,2nd,16,32,9,72.32,Lake Thomasstad,Oregon,
149,Gregory,Garcia,Female,9,5th,60,14,21,82.53,Lake Paulland,Mississippi,
150,Joseph,Zavala,Female,10,3rd,44,90,86,90.51,Port Amyport,Mississippi,
151,Troy,Reyes,Other,17,9th,53,17,97,60.23,New Cynthiamouth,Ohio,
152,Ralph,Lawson,Female,8,4th,56,41,1,97.6,South Andrew,Florida,
153,Ian,Terry,Male,18,5th,94,85,76,62.21,West Stephen,Ohio,
154,Megan,Chase,Other,13,12th,82,95,45,76.35,Reidbury,New York,
155,Stephen,Clements,Female,6,11th,2,59,60,85.83,Turnerstad,North Carolina,
156,Tonya,Gonzalez,Other,14,2nd,37,62,74,65.6,South Michelle,Florida,
157,Eric,Perry,Male,12,12th,24,59,0,78.28,South Anthonyfort,Kansas,
158,Adam,Mejia,Female,12,2nd,8,8,62,70.97,Port Angela,North Dakota,
159,Christine,Williamson,Male,14,1st,2,10,31,92.74,East Tamarashire,Hawaii,
160,Robert,Phillips,Other,14,9th,29,70,60,68.09,Port Ashley,New York,
161,Michael,Conner,Female,8,11th,66,84,14,86.48,Johnnyfort,Maine,
162,Kelly,Sanders,Other,12,1st,82,31,5,70.24,Rodriguezchester,Arkansas,
163,Gabriella,Wolf,Other,9,10th,42,91,2,93.3,Lauriemouth,Arkansas,
164,Jonathan,Rogers,Female,10,10th,52,56,72,60.95,South Larry,California,
165,Amanda,Smith,Other,9,7th,74,17,87,77.1,Spencerfort,California,
166,April,Matthews,Male,11,10th,43,60,37,75.3,Sethshire,Pennsylvania,
167,Tracy,Ellis,Other,16,4th,83,35,29,82.32,South Ashleyview,Alabama,
168,Christopher,Torres,Male,7,1st,82,20,67,89.56,New Benjaminside,New Jersey,
169,Jacqueline,Thomas,Male,13,9th,100,21,64,91.9,Mendezstad,Vermont,
170,Lindsay,Anderson,Other,11,5th,41,2,21,84.7,Kennethborough,Delaware,
171,Keith,Adams,Male,7,9th,62,77,96,77.6,Henrybury,Connecticut,
172,Julie,Morrow,Female,14,9th,75,12,18,70.96,Laurenshire,South Carolina,
173,Chad,Thompson,Male,17,8th,85,22,99,62.98,Lake Marieville,Rhode Island,
174,David,Gutierrez,Male,9,11th,89,37,12,66.42,Lake Angelaview,Rhode Island,
175,Robert,Beasley,Male,6,3rd,67,15,12,88.91,South Laura,Montana,
176,Christopher,Flores,Female,10,6th,70,68,38,97.66,Powellmouth,Mississippi,
177,Rhonda,Potter,Female,12,7th,56,94,94,83.72,Jonesshire,Michigan,
178,Angela,Tate,Female,16,4th,58,50,42,98.08,Jamesmouth,New Mexico,
179,Matthew,Acosta,Other,15,10th,38,21,57,97.87,Kellyburgh,Massachusetts,
180,Kimberly,Collins,Female,15,12th,72,9,62,91.25,Jamesmouth,Oregon,
181,Jennifer,Cook,Male,6,5th,16,85,94,75.6,Griffinmouth,Wisconsin,
182,Alex,Ellis,Female,7,3rd,39,97,44,98.39,Gonzalezshire,South Dakota,
183,Chad,Alvarado,Female,9,8th,21,1,69,88.26,Jamesmouth,Montana,
184,Mariah,Johnson,Male,18,9th,33,86,32,69.99,Johnburgh,Michigan,
185,Lori,Murphy,Other,18,9th,29,34,84,99.48,New Wandaview,Iowa,
186,Marcus,James,Female,15,2nd,61,19,62,83.44,North Courtneyborough,Minnesota,
187,Johnny,Archer,Other,17,7th,47,56,32,62.37,North Laura,California,
188,Kevin,Sellers,Other,16,6th,36,45,46,62.24,Williamston,North Carolina,
189,Alicia,Rich,Other,14,9th,98,22,58,73.71,Montgomerytown,Massachusetts,
190,Adrian,Mueller,Male,9,1st,6,27,1,81.52,Lake Zachary,Montana,
191,Gregory,Mercado,Other,13,11th,18,91,45,77.52,Bonnieport,Oregon,
192,Nicholas,Newman,Other,9,4th,45,4,38,71.37,Gillespieburgh,New York,
193,David,Valentine,Male,11,10th,36,86,90,78.87,East Angela,Kentucky,
194,Jessica,Fuller,Other,10,11th,58,68,42,95.23,Annchester,Montana,
195,Jeremy,Obrien,Other,6,3rd,21,27,66,62.96,Morganside,Texas,
196,Sara,Baker,Male,9,9th,79,56,99,99.09,North Jenna,Texas,
197,Oscar,Smith,Male,9,3rd,20,89,84,89.3,Cesarville,Montana,
198,Michelle,Jones,Female,17,8th,91,6,76,92.97,South Dawnfort,New Jersey,
199,Steven,Hernandez,Female,7,3rd,68,81,61,94.96,New Kaylaborough,New Jersey,
200,Lori,Brown,Female,17,3rd,36,66,14,83.59,Morsemouth,Wyoming,
201,Bonnie,Archer,Other,18,10th,23,82,34,82.96,East Denisestad,Tennessee,
202,Penny,Waters,Other,13,10th,22,84,87,82.47,Hillchester,Connecticut,
203,Tina,Brown,Other,9,11th,90,91,66,77.53,New Thomas,Arkansas,
204,Jessica,Cox,Male,17,3rd,88,84,93,73.11,Whiteberg,New Hampshire,
205,Lisa,Bowen,Other,15,12th,85,13,81,81.86,Yatesville,Massachusetts,
206,Edwin,Kline,Female,17,12th,19,49,2,86.43,Martinezside,Massachusetts,
